journal_name,jif,jif_5yr,jif_quartile,category,issn,eissn
CA-A CANCER JOURNAL FOR CLINICIANS,232.4,353.0,Q1,ONCOLOGY|Q1|1/322,0007-9235,1542-4863
NATURE REVIEWS MICROBIOLOGY,103.3,99.1,Q1,MICROBIOLOGY|Q1|1/161,1740-1526,1740-1534
NATURE REVIEWS DRUG DISCOVERY,101.8,129.8,Q1,PHARMACOLOGY & PHARMACY|Q1|1/354,1474-1776,1474-1784
NATURE REVIEWS MOLECULAR CELL BIOLOGY,90.2,128.7,Q1,CELL BIOLOGY|Q1|1/205,1471-0072,1471-0080
Kidney International Supplements,89.6,26.0,Q1,UROLOGY & NEPHROLOGY|Q1|3/126,2157-1724,2157-1716
LANCET,88.5,104.8,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|1/325",0140-6736,1474-547X
Nature Reviews Materials,86.2,99.8,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|1/140,2058-8437,2058-8437
Nature Reviews Clinical Oncology,82.2,89.9,Q1,ONCOLOGY|Q1|2/322,1759-4774,1759-4782
NEW ENGLAND JOURNAL OF MEDICINE,78.5,84.9,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|2/325",0028-4793,1533-4406
Nature Reviews Earth & Environment,71.5,73.7,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|1/253",N/A,2662-138X
NATURE REVIEWS CANCER,66.8,81.0,Q1,ONCOLOGY|Q1|3/322,1474-175X,1474-1768
World Psychiatry,65.8,60.0,Q1,PSYCHIATRY|Q1|1/276,1723-8617,2051-5545
ANNALS OF ONCOLOGY,65.4,46.8,Q1,ONCOLOGY|Q1|4/322,0923-7534,1569-8041
Living Reviews in Relativity,62.5,52.4,Q1,"PHYSICS, PARTICLES & FIELDS|Q1|1/30",2367-3613,1433-8351
NATURE REVIEWS IMMUNOLOGY,60.9,77.6,Q1,IMMUNOLOGY|Q1|1/181,1474-1733,1474-1741
Nature Reviews Disease Primers,60.6,104.8,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|4/325",2056-676X,2056-676X
MMWR Recommendations and Reports,60.1,50.0,Q1,,1057-5987,1545-8601
Nature Energy,60.1,68.9,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|2/438",2058-7546,2058-7546
Nature Reviews Methods Primers,56.0,66.9,Q1,MULTIDISCIPLINARY SCIENCES|Q1|2/134,N/A,2662-8449
CHEMICAL REVIEWS,55.8,67.5,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|1/230",0009-2665,1520-6890
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,55.0,64.7,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|5/325",0098-7484,1538-3598
Signal Transduction and Targeted Therapy,52.7,52.2,Q1,CELL BIOLOGY|Q1|5/205,2095-9907,2059-3635
NATURE REVIEWS GENETICS,52.0,57.1,Q1,GENETICS & HEREDITY|Q1|1/191,1471-0056,1471-0064
Nature Reviews Chemistry,51.7,49.4,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|3/230",N/A,2397-3358
Nature Reviews Gastroenterology & Hepatology,51.0,72.4,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|1/143,1759-5045,1759-5053
NATURE MEDICINE,50.0,52.4,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|1/189",1078-8956,1546-170X
MMWR Surveillance Summaries,49.8,34.1,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|1/403",1545-8636,1545-8636
NATURE,48.5,55.0,Q1,MULTIDISCIPLINARY SCIENCES|Q1|1/134,0028-0836,1476-4687
IEEE Communications Surveys and Tutorials,46.7,42.8,Q1,TELECOMMUNICATIONS|Q1|1/119,N/A,1553-877X
SCIENCE,45.8,49.7,Q1,MULTIDISCIPLINARY SCIENCES|Q1|3/134,0036-8075,1095-9203
LANCET NEUROLOGY,45.5,56.2,Q1,CLINICAL NEUROLOGY|Q1|1/277,1474-4422,1474-4465
REVIEWS OF MODERN PHYSICS,44.8,56.3,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|1/110",0034-6861,1539-0756
Nature Catalysis,44.6,47.4,Q1,"CHEMISTRY, PHYSICAL|Q1|1/178",2520-1158,2520-1158
CANCER CELL,44.5,47.2,Q1,ONCOLOGY|Q1|5/322,1535-6108,1878-3686
Nature Reviews Cardiology,44.2,52.9,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|1/220,1759-5002,1759-5010
BMJ-British Medical Journal,42.7,76.1,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|3/325",0959-535X,1756-1833
CELL,42.5,48.9,Q1,CELL BIOLOGY|Q1|4/205,0092-8674,1097-4172
JOURNAL OF CLINICAL ONCOLOGY,41.9,37.7,Q1,ONCOLOGY|Q1|6/322,0732-183X,1527-7755
Lancet Diabetes & Endocrinology,41.8,41.7,Q1,ENDOCRINOLOGY & METABOLISM|Q1|1/186,2213-8587,2213-8595
NATURE BIOTECHNOLOGY,41.7,59.5,Q1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|2/174,1087-0156,1546-1696
Nature Electronics,40.9,42.0,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|1/352",2520-1131,2520-1131
Journal of Hematology & Oncology,40.4,34.4,Q1,ONCOLOGY|Q1|9/322,N/A,1756-8722
Nature Reviews Endocrinology,40.0,47.0,Q1,ENDOCRINOLOGY & METABOLISM|Q1|2/186,1759-5029,1759-5037
PROGRESS IN MATERIALS SCIENCE,40.0,44.8,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|7/438",0079-6425,1873-2208
Nature Reviews Nephrology,39.8,44.5,Q1,UROLOGY & NEPHROLOGY|Q1|1/126,1759-5061,1759-507X
Nature Reviews Physics,39.5,53.2,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|2/110",N/A,2522-5820
CHEMICAL SOCIETY REVIEWS,39.0,50.1,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|2/230",0306-0012,1460-4744
CIRCULATION,38.6,35.9,Q1,PERIPHERAL VASCULAR DISEASE|Q1|1/96,0009-7322,1524-4539
Lancet Gastroenterology & Hepatology,38.6,34.0,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|2/143,N/A,2468-1253
NATURE MATERIALS,38.5,46.8,Q1,"PHYSICS, CONDENSED MATTER|Q1|1/79",1476-1122,1476-4660
Nature Reviews Bioengineering,37.6,37.6,Q1,,N/A,2731-6092
REVIEWS OF GEOPHYSICS,37.3,34.6,Q1,GEOCHEMISTRY & GEOPHYSICS|Q1|1/101,8755-1209,1944-9208
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,37.0,39.3,Q1,THERMODYNAMICS|Q1|1/76,0360-1285,1873-216X
eScience,36.6,35.9,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|3/438",2097-2431,2667-1417
Nano-Micro Letters,36.3,30.1,Q1,"PHYSICS, APPLIED|Q1|4/179",2311-6706,2150-5551
Electrochemical Energy Reviews,36.3,34.1,Q1,ELECTROCHEMISTRY|Q1|2/45,2520-8489,2520-8136
LANCET ONCOLOGY,35.9,42.0,Q1,ONCOLOGY|Q1|7/322,1470-2045,1474-5488
EUROPEAN HEART JOURNAL,35.6,34.4,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|2/220,0195-668X,1522-9645
Joule,35.4,43.7,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|4/438",2542-4351,2542-4351
Nature Nanotechnology,34.9,40.4,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|2/140,1748-3387,1748-3395
Annual Review of Pathology-Mechanisms of Disease,34.5,39.7,Q1,PATHOLOGY|Q1|1/88,1553-4006,1553-4014
Molecular Cancer,33.9,35.9,Q1,ONCOLOGY|Q1|10/322,N/A,1476-4598
Cancer Discovery,33.3,33.0,Q1,ONCOLOGY|Q1|8/322,2159-8274,2159-8290
Annual Review of Immunology,33.3,37.7,Q1,IMMUNOLOGY|Q1|3/181,0732-0582,1545-3278
iMeta,33.2,33.2,Q1,MICROBIOLOGY|Q1|2/161,2770-5986,2770-596X
Nature Reviews Neurology,33.1,43.4,Q1,CLINICAL NEUROLOGY|Q1|2/277,1759-4758,1759-4766
JOURNAL OF HEPATOLOGY,33.0,28.1,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|3/143,0168-8278,1600-0641
Nature Photonics,32.9,38.2,Q1,"PHYSICS, APPLIED|Q1|3/179",1749-4885,1749-4893
Lancet Respiratory Medicine,32.8,35.4,Q1,RESPIRATORY SYSTEM|Q1|1/100,2213-2600,N/A
Nature Reviews Rheumatology,32.7,35.7,Q1,RHEUMATOLOGY|Q1|1/57,1759-4790,1759-4804
Annual Review of Astronomy and Astrophysics,32.5,41.2,Q1,ASTRONOMY & ASTROPHYSICS|Q1|2/84,0066-4146,1545-4282
NATURE METHODS,32.1,51.7,Q1,BIOCHEMICAL RESEARCH METHODS|Q1|1/85,1548-7091,1548-7105
eLight,32.1,32.2,Q1,OPTICS|Q1|2/119,2097-1710,2662-8643
Interdisciplinary Materials,31.6,31.6,Q1,"PHYSICS, APPLIED|Q1|7/179",2767-4401,2767-441X
Annual Review of Organizational Psychology and Organizational Behavior,31.1,25.1,Q1,"PSYCHOLOGY, APPLIED|Q1|1/113",2327-0608,2327-0616
LANCET INFECTIOUS DISEASES,31.0,26.9,Q1,INFECTIOUS DISEASES|Q1|1/132,1473-3099,1474-4457
Cell Metabolism,30.9,33.4,Q1,ENDOCRINOLOGY & METABOLISM|Q1|3/186,1550-4131,1932-7420
Energy & Environmental Science,30.8,35.1,Q1,ENVIRONMENTAL SCIENCES|Q1|2/358,1754-5692,1754-5706
Annual Review of Condensed Matter Physics,30.7,28.7,Q1,"PHYSICS, CONDENSED MATTER|Q1|6/79",1947-5454,1947-5462
Annual Review of Fluid Mechanics,30.2,32.6,Q1,"PHYSICS, FLUIDS & PLASMAS|Q1|1/40",0066-4189,1545-4479
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,29.5,29.3,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|3/110",0370-1573,1873-6270
Annual Review of Psychology,29.4,34.4,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|1/218",0066-4308,1545-2085
NATURE GENETICS,29.0,37.4,Q1,GENETICS & HEREDITY|Q1|2/191,1061-4036,1546-1718
Physiological Reviews,28.7,47.7,Q1,PHYSIOLOGY|Q1|1/85,0031-9333,1522-1210
Nature Cancer,28.5,28.6,Q1,ONCOLOGY|Q1|11/322,N/A,2662-1347
ACM COMPUTING SURVEYS,28.0,26.3,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|1/143",0360-0300,1557-7341
NATURE IMMUNOLOGY,27.6,29.2,Q1,IMMUNOLOGY|Q1|2/181,1529-2908,1529-2916
Living Reviews in Solar Physics,27.6,26.1,Q1,ASTRONOMY & ASTROPHYSICS|Q1|3/84,2367-3648,1614-4961
Science Robotics,27.5,32.9,Q1,ROBOTICS|Q1|1/46,2470-9476,2470-9476
Nature Climate Change,27.1,32.9,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|1/110,1758-678X,1758-6798
Nature Sustainability,27.1,32.8,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|1/91,2398-9629,2398-9629
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,27.0,23.0,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE|Q1|1/160,0268-4012,1873-4707
Wiley Interdisciplinary Reviews-Computational Molecular Science,27.0,18.4,Q1,MATHEMATICAL & COMPUTATIONAL BIOLOGY|Q1|1/65,1759-0876,1759-0884
ADVANCED MATERIALS,26.8,28.9,Q1,"PHYSICS, CONDENSED MATTER|Q1|3/79",0935-9648,1521-4095
NEW ASTRONOMY REVIEWS,26.8,13.7,Q1,ASTRONOMY & ASTROPHYSICS|Q1|5/84,1387-6473,1872-9630
MATERIALS SCIENCE & ENGINEERING R-REPORTS,26.8,36.7,Q1,"PHYSICS, APPLIED|Q1|4/179",0927-796X,1879-212X
NATURE REVIEWS NEUROSCIENCE,26.7,36.7,Q1,NEUROSCIENCES|Q1|2/310,1471-003X,1471-0048
Nature Biomedical Engineering,26.6,30.4,Q1,"ENGINEERING, BIOMEDICAL|Q1|1/122",2157-846X,2157-846X
ASTRONOMY AND ASTROPHYSICS REVIEW,26.5,34.5,Q1,ASTRONOMY & ASTROPHYSICS|Q1|1/84,0935-4956,1432-0754
Annual Review of Plant Biology,26.5,30.5,Q1,PLANT SCIENCES|Q1|1/265,1543-5008,1545-2123
Immunity,26.3,33.2,Q1,IMMUNOLOGY|Q1|4/181,1074-7613,1097-4180
PROGRESS IN POLYMER SCIENCE,26.1,31.6,Q1,POLYMER SCIENCE|Q1|1/94,0079-6700,1873-1619
Advanced Energy Materials,26.0,26.8,Q1,"PHYSICS, CONDENSED MATTER|Q1|4/79",1614-6832,1614-6840
PROCEEDINGS OF THE IEEE,25.9,25.0,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|2/352",0018-9219,1558-2256
CELL RESEARCH,25.9,36.6,Q1,CELL BIOLOGY|Q1|6/205,1001-0602,1748-7838
GUT,25.8,25.3,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|5/143,0017-5749,1468-3288
Innovation,25.7,40.2,Q1,MULTIDISCIPLINARY SCIENCES|Q1|4/134,2666-6758,2666-6758
Foundations and Trends in Machine Learning,25.4,89.0,Q1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|1/197",1935-8237,1935-8245
EUROPEAN UROLOGY,25.2,22.0,Q1,UROLOGY & NEPHROLOGY|Q1|2/126,0302-2838,1873-7560
Lancet Public Health,25.2,29.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403",2468-2667,2468-2667
Gastroenterology,25.1,26.9,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|4/143,0016-5085,1528-0012
Advanced Powder Materials,24.9,24.9,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|10/438",N/A,2772-834X
Cancer Communications,24.9,22.2,Q1,ONCOLOGY|Q1|14/322,N/A,2523-3548
Lancet Psychiatry,24.8,33.0,Q1,PSYCHIATRY|Q1|2/276,2215-0374,N/A
FUNGAL DIVERSITY,24.8,28.3,Q1,MYCOLOGY|Q1|1/33,1560-2745,1878-9129
Carbon Energy,24.2,23.0,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|6/140,N/A,2637-9368
Lancet Digital Health,24.1,27.6,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|6/325",N/A,2589-7500
Molecular Plant,24.1,25.8,Q1,PLANT SCIENCES|Q1|3/265,1674-2052,1752-9867
Nature Water,24.1,24.1,Q1,,N/A,2731-6084
Nature Machine Intelligence,23.9,31.8,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q1|1/169",N/A,2522-5839
Advances in Optics and Photonics,23.8,31.5,Q1,OPTICS|Q1|3/119,1943-8206,N/A
EnergyChem,23.8,25.5,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|15/438",2589-7780,2589-7780
COORDINATION CHEMISTRY REVIEWS,23.5,22.7,Q1,"CHEMISTRY, INORGANIC & NUCLEAR|Q1|1/44",0010-8545,1873-3840
Light-Science & Applications,23.4,23.1,Q1,OPTICS|Q1|4/119,2095-5545,2047-7538
JAMA Internal Medicine,23.3,22.3,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|7/325",2168-6106,2168-6114
BLOOD,23.1,19.7,Q1,HEMATOLOGY|Q1|2/97,0006-4971,1528-0020
Military Medical Research,22.9,18.5,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|9/325",2095-7467,2054-9369
Exploration,22.5,22.8,Q1,,2766-8509,2766-2098
Opto-Electronic Advances,22.4,15.4,Q1,OPTICS|Q1|7/119,2096-4579,2097-3993
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,22.3,24.2,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|4/220,0735-1097,1558-3597
InfoMat,22.3,21.1,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|14/438",N/A,2567-3165
Annual Review of Medicine,22.1,17.6,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|3/189",0066-4219,1545-326X
Materials Today,22.0,25.3,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|16/438",1369-7021,1873-4103
ENDOCRINE REVIEWS,22.0,29.0,Q1,ENDOCRINOLOGY & METABOLISM|Q1|4/186,0163-769X,1945-7189
Nature Food,21.9,28.3,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|1/173,N/A,2662-1355
